Freq.	V(vf)
Step Information: Rl=4.5  (Run: 1/3)
1.00000000000000e+000	(5.15371390545591e+001dB,1.79981608053819e+002°)
1.00230523807790e+000	(5.15371390502212e+001dB,1.79981518952377e+002°)
1.00461579027840e+000	(5.15371390458578e+001dB,1.79981429752951e+002°)
1.00693166885180e+000	(5.15371390412094e+001dB,1.79981340455069e+002°)
1.00925288607668e+000	(5.15371390367942e+001dB,1.79981251058254e+002°)
1.01157945425990e+000	(5.15371390323529e+001dB,1.79981161562035e+002°)
1.01391138573668e+000	(5.15371390278854e+001dB,1.79981071965936e+002°)
1.01624869287070e+000	(5.15371390233917e+001dB,1.79980982269483e+002°)
1.01859138805412e+000	(5.15371390186126e+001dB,1.79980892472200e+002°)
1.02093948370768e+000	(5.15371390140664e+001dB,1.79980802573611e+002°)
1.02329299228075e+000	(5.15371390094936e+001dB,1.79980712573239e+002°)
1.02565192625141e+000	(5.15371390048941e+001dB,1.79980622470607e+002°)
1.02801629812647e+000	(5.15371390002680e+001dB,1.79980532265237e+002°)
1.03038612044162e+000	(5.15371389953558e+001dB,1.79980441956652e+002°)
1.03276140576140e+000	(5.15371389906759e+001dB,1.79980351544372e+002°)
1.03514216667934e+000	(5.15371389859692e+001dB,1.79980261027918e+002°)
1.03752841581801e+000	(5.15371389812353e+001dB,1.79980170406809e+002°)
1.03992016582906e+000	(5.15371389764742e+001dB,1.79980079680567e+002°)
1.04231742939330e+000	(5.15371389714267e+001dB,1.79979988848709e+002°)
1.04472021922080e+000	(5.15371389666109e+001dB,1.79979897910754e+002°)
1.04712854805090e+000	(5.15371389617676e+001dB,1.79979806866220e+002°)
1.04954242865232e+000	(5.15371389568966e+001dB,1.79979715714624e+002°)
1.05196187382322e+000	(5.15371389519982e+001dB,1.79979624455482e+002°)
1.05438689639126e+000	(5.15371389468126e+001dB,1.79979533088313e+002°)
1.05681750921366e+000	(5.15371389418582e+001dB,1.79979441612629e+002°)
1.05925372517729e+000	(5.15371389368758e+001dB,1.79979350027947e+002°)
1.06169555719872e+000	(5.15371389318655e+001dB,1.79979258333781e+002°)
1.06414301822431e+000	(5.15371389265676e+001dB,1.79979166529645e+002°)
1.06659612123026e+000	(5.15371389215007e+001dB,1.79979074615052e+002°)
1.06905487922266e+000	(5.15371389164052e+001dB,1.79978982589515e+002°)
1.07151930523761e+000	(5.15371389112812e+001dB,1.79978890452545e+002°)
1.07398941234124e+000	(5.15371389058694e+001dB,1.79978798203656e+002°)
1.07646521362983e+000	(5.15371389006880e+001dB,1.79978705842357e+002°)
1.07894672222983e+000	(5.15371388954777e+001dB,1.79978613368157e+002°)
1.08143395129794e+000	(5.15371388902384e+001dB,1.79978520780569e+002°)
1.08392691402120e+000	(5.15371388849700e+001dB,1.79978428079099e+002°)
1.08642562361706e+000	(5.15371388794133e+001dB,1.79978335263259e+002°)
1.08893009333343e+000	(5.15371388740863e+001dB,1.79978242332553e+002°)
1.09144033644876e+000	(5.15371388687300e+001dB,1.79978149286491e+002°)
1.09395636627209e+000	(5.15371388633440e+001dB,1.79978056124578e+002°)
